"FieldID","Crop","Management","SoilN","SoilP","OrgMatter","Moisture","NDVI"
"F001","Corn","CoverCrop",21.5,33.2,3.2,20.5,0.9
"F002","Corn","Conventional",9.5,9.1,1.41,20.4,0.872
"F003","Soybean","Conventional",8.8,12.9,1.86,17.1,0.712
"F004","Corn","Conventional",7.7,7.1,2.12,16.5,0.87
"F005","Corn","CoverCrop",26.8,31,3.24,28,0.9
"F006","Soybean","CoverCrop",22.6,26.6,2.98,25.4,0.9
"F007","Soybean","Conventional",11.8,20.2,2.11,16.1,0.757
"F008","Soybean","Conventional",24.8,21.2,2.46,21.5,0.651
"F009","Corn","Conventional",15.9,17.7,2,18.4,0.79
"F010","Corn","CoverCrop",25.1,27.5,2.65,25,0.9
"F011","Corn","CoverCrop",20,24.4,2.9,14.9,0.85
"F012","Soybean","Conventional",7.5,11.7,1.57,12.9,0.696
"F013","Soybean","Conventional",23.6,30.4,2.15,22.8,0.713
"F014","Corn","Conventional",18.4,20.9,2.18,25.8,0.9
"F015","Soybean","Conventional",23.7,28.7,3.03,19.2,0.863
"F016","Wheat","Conventional",23.2,23.4,2.37,23,0.54
"F017","Corn","CoverCrop",29.4,36.3,3.9,19.7,0.9
"F018","Corn","Conventional",22.1,29.7,2.88,23.2,0.9
"F019","Corn","CoverCrop",19,25.1,2.94,25.5,0.9
"F020","Corn","Conventional",23.4,37.8,2.61,16,0.9
"F021","Soybean","CoverCrop",14.5,16.1,2.14,29.3,0.772
"F022","Corn","CoverCrop",22.7,33.1,2.91,16.5,0.9
"F023","Corn","CoverCrop",11.1,15.8,2,28.5,0.9
"F024","Corn","CoverCrop",13.6,14.5,2.31,21.2,0.9
"F025","Corn","CoverCrop",11.5,22.5,2.88,23.9,0.816
"F026","Soybean","CoverCrop",13,19.1,2.59,17.7,0.588
"F027","Wheat","Conventional",22.6,38,3.13,13.4,0.572
"F028","Corn","Conventional",18.3,22,2.71,12.7,0.759
"F029","Wheat","Conventional",10.3,11.1,2.66,20.8,0.484
"F030","Soybean","Conventional",10,10.8,1.71,20.8,0.597
"F031","Soybean","Conventional",15.1,20.7,2.24,14.6,0.764
"F032","Corn","CoverCrop",24.5,24.3,2.99,18.4,0.877
"F033","Corn","Conventional",15.7,15.4,2.72,26.9,0.849
"F034","Corn","Conventional",24.8,34.2,2.74,17.3,0.817
"F035","Wheat","Conventional",27.3,30.5,2.94,21.3,0.576
"F036","Corn","Conventional",26.5,33.7,3.02,18.5,0.835
"F037","Corn","Conventional",20.2,28.9,2.8,19.4,0.881
"F038","Corn","Conventional",12.7,16.1,2.24,20.2,0.868
"F039","Corn","CoverCrop",25.5,29.3,3.06,23.4,0.806
"F040","Corn","CoverCrop",17.8,19.5,2.55,16.4,0.856
"F041","Corn","Conventional",20.9,27.5,2.47,21,0.9
"F042","Wheat","Conventional",20.2,23.4,2.34,19.2,0.548
"F043","Corn","Conventional",20.9,26.9,3.01,17.7,0.9
"F044","Corn","Conventional",25,26.5,2.64,11.2,0.841
"F045","Corn","Conventional",19.3,28.6,2.76,19.7,0.794
"F046","Corn","Conventional",20.5,21.7,2.42,21.9,0.863
"F047","Corn","CoverCrop",11.5,17.4,2.36,18,0.9
"F048","Corn","Conventional",3.5,0.2,1.29,17,0.742
"F049","Soybean","Conventional",14.4,15.8,2.49,17.3,0.731
"F050","Corn","Conventional",24,25.3,2.53,12.4,0.765
"F051","Soybean","Conventional",23.3,29.1,3.02,19.1,0.81
"F052","Corn","CoverCrop",10,8.9,1.68,14.3,0.784
"F053","Soybean","Conventional",26.7,31.7,3.06,18.9,0.765
"F054","Soybean","CoverCrop",12.2,11.4,2.07,20.1,0.664
"F055","Corn","Conventional",20.6,25.8,2.21,15.8,0.863
"F056","Corn","CoverCrop",-1.1,-1.2,1.05,24.4,0.711
"F057","Corn","Conventional",26.8,37.3,3.4,8.4,0.893
"F058","Corn","Conventional",20.8,27.3,2.14,16.9,0.9
"F059","Wheat","CoverCrop",23.9,25,2.7,23,0.58
"F060","Soybean","CoverCrop",20.4,28.1,3.13,20,0.703
"F061","Corn","Conventional",20.2,18.9,2.67,28.5,0.9
"F062","Soybean","Conventional",11.1,12.8,2.09,19.6,0.711
"F063","Corn","Conventional",30.6,37.7,3.12,22.2,0.9
"F064","Corn","Conventional",3.1,8.7,1.23,22.2,0.9
"F065","Wheat","CoverCrop",25.5,28.9,3.05,11.1,0.635
"F066","Soybean","Conventional",13.3,18.1,2.47,23.4,0.629
"F067","Corn","CoverCrop",8,12.3,2.41,18.5,0.729
"F068","Soybean","CoverCrop",4.8,13.4,1.84,21.9,0.846
"F069","Wheat","CoverCrop",19.7,23.3,2.52,15.7,0.396
"F070","Wheat","CoverCrop",18.7,21.5,2.57,16.1,0.606
"F071","Corn","Conventional",22.6,26.2,2.8,22.9,0.9
"F072","Corn","Conventional",24,24.8,2.31,20.1,0.799
"F073","Corn","Conventional",15.4,23.6,2.03,18.7,0.9
"F074","Soybean","Conventional",26.6,30.7,2.3,15.4,0.814
"F075","Corn","CoverCrop",23.3,25.4,3.26,23.9,0.9
"F076","Corn","CoverCrop",22.6,26.5,2.99,15.9,0.786
"F077","Corn","CoverCrop",20.2,26.3,2.96,24.9,0.879
"F078","Corn","Conventional",16.3,19.2,2.22,21.5,0.856
"F079","Corn","Conventional",23.9,24.9,2.87,20.6,0.899
"F080","Wheat","CoverCrop",19.1,30.6,2.73,23.5,0.474
"F081","Corn","Conventional",29.9,40.2,3.52,26,0.9
"F082","Corn","CoverCrop",10.5,8.6,1.54,22.4,0.868
"F083","Soybean","Conventional",15.2,17.9,2.46,6.7,0.657
"F084","Corn","Conventional",18.5,20.9,2.27,17.7,0.894
"F085","Corn","Conventional",5.3,10.4,1.67,15,0.836
"F086","Corn","Conventional",14.3,20.8,2.77,16.1,0.872
"F087","Corn","Conventional",16.6,23.2,2.19,19,0.9
"F088","Soybean","Conventional",14.5,21.8,1.78,19.6,0.684
"F089","Corn","Conventional",7.4,9.3,1.9,17.1,0.831
"F090","Corn","Conventional",13.6,14.7,2.09,19.4,0.9
"F091","Corn","Conventional",15.5,18.6,2.37,12.5,0.81
"F092","Soybean","CoverCrop",17,14.1,2.23,21.5,0.687
"F093","Soybean","Conventional",28,34.1,3.05,21.7,0.739
"F094","Soybean","CoverCrop",1,-2.6,0.96,9.3,0.444
"F095","Corn","CoverCrop",16.9,20.4,2.39,16.6,0.793
"F096","Soybean","Conventional",15.8,16.8,2.43,24.2,0.676
"F097","Corn","CoverCrop",13.8,14.9,2.1,18.9,0.9
"F098","Soybean","Conventional",12.9,17.1,1.84,22.8,0.673
"F099","Wheat","Conventional",18.8,25.5,2.58,21.7,0.652
"F100","Soybean","CoverCrop",21.3,14.3,2.55,19.9,0.774
"F101","Soybean","Conventional",6.3,4.4,1.47,12.4,0.592
"F102","Corn","Conventional",15.9,18.7,2.23,25.3,0.9
"F103","Soybean","Conventional",24.2,29.6,2.74,22.4,0.85
"F104","Wheat","Conventional",10.5,14.1,2.12,16.4,0.449
"F105","Corn","CoverCrop",27.5,27.1,2.8,16.5,0.892
"F106","Soybean","Conventional",16.1,31,2.22,17,0.758
"F107","Soybean","Conventional",41.2,51.9,3.82,17.7,0.885
"F108","Corn","CoverCrop",5.5,9.1,1.76,24,0.893
"F109","Soybean","Conventional",14.1,15.3,2.03,16.3,0.79
"F110","Wheat","CoverCrop",17.7,25.9,2.62,20.9,0.548
"F111","Corn","CoverCrop",28.2,34.7,2.87,23.9,0.815
"F112","Soybean","CoverCrop",20.6,26.4,3.18,19.3,0.618
"F113","Corn","CoverCrop",17,18.9,2.09,26.1,0.9
"F114","Corn","CoverCrop",18.6,27.7,2.4,14.8,0.842
"F115","Wheat","CoverCrop",26.1,26.5,3.49,26.4,0.604
"F116","Corn","Conventional",25.2,20.6,2.49,20.1,0.89
"F117","Corn","Conventional",16.8,22.6,2.19,12.3,0.809
"F118","Corn","Conventional",17.7,18.8,2.09,21.4,0.888
"F119","Wheat","CoverCrop",13.7,13.1,2.15,13.7,0.522
"F120","Soybean","Conventional",18.1,23.4,2.11,19.1,0.769
"F121","Soybean","Conventional",20.4,20.7,2.76,17.7,0.698
"F122","Wheat","Conventional",22.6,29.7,2.63,18,0.539
"F123","Corn","CoverCrop",21.2,25.8,2.11,23,0.9
"F124","Corn","Conventional",25.6,37.5,3.37,20.6,0.9
"F125","Corn","CoverCrop",22.7,26.6,3.01,15.1,0.9
"F126","Wheat","CoverCrop",18.6,22.3,3.22,18.3,0.587
"F127","Corn","Conventional",19.5,25.5,2.33,11.5,0.822
"F128","Wheat","Conventional",18.9,21.1,2.3,17,0.49
"F129","Soybean","CoverCrop",14.4,12,2,14.5,0.67
"F130","Soybean","Conventional",19,20.5,2.36,15.1,0.642
"F131","Corn","Conventional",16.8,19.2,2.24,19.9,0.836
"F132","Soybean","Conventional",27,32.7,2.94,16.6,0.829
"F133","Wheat","CoverCrop",11.4,16.3,2.79,13.7,0.52
"F134","Wheat","Conventional",19.1,20.2,2.37,26.6,0.589
"F135","Wheat","Conventional",8.4,15.1,1.59,14.9,0.56
"F136","Corn","Conventional",13.9,11.1,1.78,20,0.846
"F137","Corn","CoverCrop",12.6,16.7,2.58,22.8,0.888
"F138","Soybean","CoverCrop",21.4,22.4,3.28,23.8,0.721
"F139","Corn","Conventional",17.4,22.6,1.73,25.5,0.786
"F140","Corn","Conventional",16.5,25.4,2.26,14,0.89
"F141","Soybean","CoverCrop",18.2,26.1,3.25,23.6,0.819
"F142","Soybean","CoverCrop",4.8,5.1,1.36,17.1,0.619
"F143","Wheat","Conventional",11.5,16.3,2.08,15.4,0.471
"F144","Soybean","Conventional",17.5,19,1.73,16.9,0.707
"F145","Corn","Conventional",12.1,23.7,2.23,21.4,0.805
"F146","Corn","Conventional",21.7,23.5,2.67,23.2,0.892
"F147","Wheat","CoverCrop",15.7,22,2.37,16.9,0.602
"F148","Corn","CoverCrop",6.7,10.5,1.65,26.3,0.852
"F149","Soybean","Conventional",28.8,29,3.17,16.4,0.853
"F150","Corn","CoverCrop",32.9,39.7,3.54,20.4,0.9
"F151","Corn","CoverCrop",19.6,35.1,2.84,20.4,0.9
"F152","Corn","Conventional",17,20.9,2.55,10.4,0.745
"F153","Corn","CoverCrop",22.2,32.8,3.25,15,0.8
"F154","Soybean","Conventional",24,35,2.7,14.9,0.751
"F155","Corn","CoverCrop",16.4,23.2,2.72,27.7,0.9
"F156","Corn","CoverCrop",30.7,39.7,3.1,11.9,0.9
"F157","Wheat","CoverCrop",25.2,25.9,2.53,26.9,0.574
"F158","Wheat","Conventional",9.6,11.6,1.88,15.8,0.391
"F159","Corn","CoverCrop",21.5,25.1,2.81,28,0.9
"F160","Soybean","Conventional",16.2,16.7,2.27,26.4,0.687
"F161","Corn","CoverCrop",15.2,15.1,2.64,25,0.886
"F162","Corn","CoverCrop",24.1,34,2.92,9,0.855
"F163","Soybean","Conventional",8.3,14,1.49,21.3,0.727
"F164","Soybean","Conventional",21.2,22,2.61,17.1,0.749
"F165","Corn","CoverCrop",18,24.9,2.5,14.6,0.9
"F166","Corn","CoverCrop",22.3,23.3,2.44,14.7,0.9
"F167","Soybean","Conventional",28.2,32.9,3.24,18.7,0.792
"F168","Corn","Conventional",9.8,12.9,2.09,19.9,0.724
"F169","Corn","Conventional",15.5,15.9,2.32,20.4,0.886
"F170","Corn","Conventional",9.2,9.4,1.68,17.9,0.808
"F171","Wheat","Conventional",26.7,28.3,3.25,21.1,0.504
"F172","Corn","CoverCrop",19.7,24.8,3.25,18.3,0.815
"F173","Wheat","Conventional",24.3,30.6,2.3,14.6,0.438
"F174","Corn","CoverCrop",17.1,25.7,2.86,17,0.854
"F175","Corn","Conventional",20,23,2.5,13.2,0.729
"F176","Corn","Conventional",17.1,33.7,2.68,9,0.9
"F177","Corn","Conventional",33.1,46.7,3.46,16.7,0.9
"F178","Corn","CoverCrop",18.8,18.1,2.2,14.4,0.812
"F179","Corn","Conventional",18.4,20.4,2.49,17.6,0.9
"F180","Wheat","Conventional",13.9,22.1,2.39,21.3,0.567
